functionality;architecture;neutral
[0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.025];[0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.018867924528301886];[0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.06060606060606061, 0.09090909090909091, 0.06060606060606061, 0.06060606060606061]
[0.02608695652173913, 0.02608695652173913, 0.02608695652173913, 0.034782608695652174, 0.02608695652173913, 0.02608695652173913, 0.02608695652173913, 0.008695652173913044, 0.008695652173913044, 0.008695652173913044, 0.02608695652173913, 0.02608695652173913, 0.02608695652173913, 0.02608695652173913, 0.034782608695652174, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.008695652173913044, 0.034782608695652174, 0.034782608695652174, 0.02608695652173913, 0.02608695652173913, 0.02608695652173913, 0.02608695652173913, 0.02608695652173913, 0.043478260869565216, 0.043478260869565216, 0.034782608695652174, 0.02608695652173913, 0.008695652173913044, 0.02608695652173913, 0.02608695652173913, 0.02608695652173913, 0.02608695652173913];[0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.007352941176470588, 0.007352941176470588, 0.007352941176470588, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.03676470588235294, 0.03676470588235294, 0.03676470588235294, 0.03676470588235294, 0.03676470588235294, 0.007352941176470588, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.03676470588235294, 0.03676470588235294, 0.029411764705882353, 0.029411764705882353, 0.007352941176470588, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353, 0.029411764705882353];[0.02247191011235955, 0.02247191011235955, 0.033707865168539325, 0.02247191011235955, 0.0449438202247191, 0.011235955056179775, 0.033707865168539325, 0.033707865168539325, 0.033707865168539325, 0.02247191011235955, 0.033707865168539325, 0.033707865168539325, 0.02247191011235955, 0.033707865168539325, 0.033707865168539325, 0.02247191011235955, 0.02247191011235955, 0.033707865168539325, 0.033707865168539325, 0.02247191011235955, 0.02247191011235955, 0.02247191011235955, 0.02247191011235955, 0.033707865168539325, 0.02247191011235955, 0.02247191011235955, 0.033707865168539325, 0.02247191011235955, 0.033707865168539325, 0.02247191011235955, 0.02247191011235955, 0.033707865168539325, 0.033707865168539325, 0.033707865168539325, 0.02247191011235955, 0.02247191011235955]
[0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.0196078431372549, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.004901960784313725, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.00980392156862745, 0.004901960784313725, 0.024509803921568627, 0.0196078431372549, 0.0196078431372549, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.0196078431372549, 0.024509803921568627, 0.024509803921568627, 0.024509803921568627, 0.004901960784313725, 0.004901960784313725, 0.0196078431372549, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.024509803921568627, 0.024509803921568627, 0.024509803921568627, 0.0196078431372549, 0.0196078431372549, 0.014705882352941176, 0.004901960784313725, 0.014705882352941176, 0.014705882352941176, 0.004901960784313725, 0.004901960784313725, 0.004901960784313725, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176];[0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.0040650406504065045, 0.008130081300813009, 0.008130081300813009, 0.008130081300813009, 0.008130081300813009, 0.008130081300813009, 0.0040650406504065045, 0.02032520325203252, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.02032520325203252, 0.02032520325203252, 0.02032520325203252, 0.02032520325203252, 0.0040650406504065045, 0.0040650406504065045, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.02032520325203252, 0.02032520325203252, 0.02032520325203252, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.0040650406504065045, 0.016260162601626018, 0.016260162601626018, 0.0040650406504065045, 0.0040650406504065045, 0.0040650406504065045, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018, 0.016260162601626018];[0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.01935483870967742, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.01935483870967742, 0.01935483870967742, 0.012903225806451613, 0.01935483870967742, 0.01935483870967742, 0.012903225806451613, 0.025806451612903226, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.012903225806451613, 0.01935483870967742, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.01935483870967742, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.012903225806451613, 0.01935483870967742, 0.012903225806451613]
[0.05357142857142857, 0.017857142857142856, 0.07142857142857142, 0.05357142857142857, 0.017857142857142856, 0.08928571428571429, 0.08928571428571429, 0.017857142857142856, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857, 0.05357142857142857];[0.057971014492753624, 0.014492753623188406, 0.057971014492753624, 0.057971014492753624, 0.014492753623188406, 0.07246376811594203, 0.07246376811594203, 0.014492753623188406, 0.057971014492753624, 0.057971014492753624, 0.057971014492753624, 0.057971014492753624, 0.057971014492753624, 0.057971014492753624, 0.057971014492753624, 0.057971014492753624, 0.057971014492753624, 0.057971014492753624, 0.057971014492753624];[0.03773584905660377, 0.05660377358490566, 0.07547169811320754, 0.05660377358490566, 0.07547169811320754, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.03773584905660377, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.03773584905660377]
[0.017045454545454544, 0.005681818181818182, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.005681818181818182, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.005681818181818182, 0.017045454545454544, 0.005681818181818182, 0.005681818181818182, 0.011363636363636364, 0.017045454545454544, 0.005681818181818182, 0.005681818181818182, 0.005681818181818182, 0.005681818181818182, 0.005681818181818182, 0.005681818181818182, 0.005681818181818182, 0.005681818181818182, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.005681818181818182, 0.011363636363636364, 0.005681818181818182, 0.005681818181818182, 0.005681818181818182, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.022727272727272728, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.022727272727272728, 0.017045454545454544, 0.017045454545454544, 0.017045454545454544, 0.005681818181818182, 0.011363636363636364];[0.017777777777777778, 0.0044444444444444444, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.0044444444444444444, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.0044444444444444444, 0.017777777777777778, 0.0044444444444444444, 0.0044444444444444444, 0.008888888888888889, 0.017777777777777778, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.0044444444444444444, 0.008888888888888889, 0.0044444444444444444, 0.0044444444444444444, 0.0044444444444444444, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.022222222222222223, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.017777777777777778, 0.0044444444444444444, 0.008888888888888889];[0.011111111111111112, 0.016666666666666666, 0.016666666666666666, 0.011111111111111112, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.022222222222222223, 0.016666666666666666, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.011111111111111112, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.011111111111111112, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.016666666666666666, 0.016666666666666666, 0.011111111111111112, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.011111111111111112, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.016666666666666666, 0.011111111111111112, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666, 0.016666666666666666]
[0.08333333333333333, 0.1111111111111111, 0.08333333333333333, 0.08333333333333333, 0.1111111111111111, 0.027777777777777776, 0.027777777777777776, 0.08333333333333333, 0.08333333333333333, 0.027777777777777776, 0.027777777777777776, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333];[0.08888888888888889, 0.08888888888888889, 0.08888888888888889, 0.08888888888888889, 0.1111111111111111, 0.022222222222222223, 0.022222222222222223, 0.08888888888888889, 0.08888888888888889, 0.022222222222222223, 0.022222222222222223, 0.08888888888888889, 0.08888888888888889, 0.08888888888888889];[0.06060606060606061, 0.09090909090909091, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.06060606060606061, 0.09090909090909091, 0.09090909090909091, 0.06060606060606061, 0.06060606060606061, 0.06060606060606061, 0.09090909090909091, 0.06060606060606061]
[0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.009389671361502348, 0.009389671361502348, 0.009389671361502348, 0.014084507042253521, 0.009389671361502348, 0.009389671361502348, 0.009389671361502348, 0.009389671361502348, 0.009389671361502348, 0.009389671361502348, 0.009389671361502348, 0.009389671361502348, 0.009389671361502348, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.023474178403755867, 0.023474178403755867, 0.023474178403755867, 0.023474178403755867, 0.023474178403755867, 0.023474178403755867, 0.023474178403755867, 0.023474178403755867, 0.023474178403755867, 0.023474178403755867, 0.004694835680751174, 0.004694835680751174, 0.004694835680751174, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.018779342723004695, 0.004694835680751174, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.004694835680751174, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.014084507042253521, 0.004694835680751174, 0.004694835680751174, 0.014084507042253521, 0.014084507042253521, 0.009389671361502348, 0.009389671361502348, 0.009389671361502348, 0.014084507042253521];[0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.008403361344537815, 0.008403361344537815, 0.008403361344537815, 0.01680672268907563, 0.008403361344537815, 0.008403361344537815, 0.008403361344537815, 0.008403361344537815, 0.008403361344537815, 0.008403361344537815, 0.008403361344537815, 0.008403361344537815, 0.008403361344537815, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.004201680672268907, 0.004201680672268907, 0.004201680672268907, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.004201680672268907, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.004201680672268907, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.01680672268907563, 0.004201680672268907, 0.004201680672268907, 0.01680672268907563, 0.01680672268907563, 0.008403361344537815, 0.008403361344537815, 0.008403361344537815, 0.01680672268907563];[0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.02040816326530612, 0.013605442176870748, 0.02040816326530612, 0.013605442176870748, 0.013605442176870748, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.02040816326530612, 0.013605442176870748, 0.02040816326530612, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.02040816326530612, 0.013605442176870748, 0.02040816326530612, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748, 0.013605442176870748]
[0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.07547169811320754, 0.05660377358490566, 0.05660377358490566, 0.018867924528301886, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566];[0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.014705882352941176, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.014705882352941176, 0.014705882352941176, 0.014705882352941176, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.058823529411764705];[0.06521739130434782, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.021739130434782608, 0.06521739130434782, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.06521739130434782, 0.06521739130434782, 0.06521739130434782, 0.043478260869565216, 0.06521739130434782, 0.06521739130434782]
[0.15789473684210525, 0.15789473684210525, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.21052631578947367, 0.15789473684210525, 0.15789473684210525];[0.17391304347826086, 0.17391304347826086, 0.043478260869565216, 0.043478260869565216, 0.043478260869565216, 0.17391304347826086, 0.17391304347826086, 0.17391304347826086];[0.125, 0.125, 0.16666666666666666, 0.125, 0.125, 0.08333333333333333, 0.125, 0.125]
[0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.023809523809523808, 0.09523809523809523, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142, 0.07142857142857142];[0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754];[0.07142857142857142, 0.07142857142857142, 0.047619047619047616, 0.07142857142857142, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.047619047619047616, 0.07142857142857142, 0.07142857142857142, 0.047619047619047616, 0.07142857142857142, 0.047619047619047616, 0.07142857142857142, 0.07142857142857142]
